date,Time precision,country,Country ISO,Latitude,Longitude,Geo precision,Admin 1,Location where sexual violence was committed,Event Description,Reported Perpetrator,Perpetrator Group Name,Single and group perpetrators ,Weapon Carried/Used,Survivor or Victim,Survivor Or Victim Sex,Adult or Minor ,Type,SV Context,Classification,Number of reported victims,Reported deaths following the sexual violence,SiND Event ID
#date +occurred,,#country,#country_ISO,#geo +lac,#geo +lon,,#adm1,#loc,,#group +perp,#group +perp +name,,#weapons,,#sex,,,,,,,
01/06/2020,Exact Date,Ukraine,UKR,48.31471118,38.04200194,(1)Exact location,Donetsk Oblast,No information ,"June 2020: In Donetsk Oblast, a Donetsk People's Republic rebel forces member raped and killed a woman",NSA,United Armed Forces of Novorossiya,Single perpetrator,Firearms,Civilian ,Female,"Adult, ",Rape,CRSV,Single rape/sv assault ,1,1,25762
02/07/2020,Exact Date,DRC,COD,3.401016139,30.76858591,(2)25 km precision ,Ituri,No information ,"July 2020: In Ituri province, five women were sexually assaulted by South Sudanese military forces. More than 50 houses were burned. ",State military,South Sudan People's Defence Force,Group perpetrator,Firearms,Civilian ,Female,"Adult, ",SexualAssault,SV by security personnel,Mass SV assault,5,,25779
06/07/2020,Exact Date,DRC,COD,-1.439057661,28.08380836,(2)25 km precision ,North Kivu,No information ,"July 2020: In North Kivu province, three women were raped, and two men killed in an attack on Matenge village by the Nyatura Domi militants under the Collective of Movements for Change (CMC) alliance who also stole livestock and other goods",NSA,Collective of Movements for Change in Congo (CMC),Group perpetrator,Firearms,Civilian ,Female,"Adult, ",Rape,CRSV,Mass SV assault,3,,25780
16/07/2020,Exact Date,DRC,COD,0.853125518,29.25684898,(1)Exact location,Ituri,Victims home ,"July 2020: In Ituri province, two FARDC soldiers raped a 15-year-old girl after breaking into her home. Both suspects were reportedly arrested",State military,Forces Arm̩es de la R̩publique D̩mocratique du Congo,Group perpetrator,Firearms,Civilian ,Female,"Minor, ",Rape,SV by security personnel,Gang SV assault,1,,25781
11/07/2020,Exact Date,South Sudan,SSD,6.897344666,29.41972235,(1)Exact location,Lakes,No information ,"July 2020: In Lakes state, seven South Sudan People's Defence Forces (SSPDF) soldiers raped two women and a 10-year-old girl. Two perpetrators were reportedly arrested.",State military,South Sudan People's Defence Force,Group perpetrator,Firearms,Civilian ,Female,"Minor, Adult, ",Rape,SV by security personnel,Mass SV assault,3,,25788
19/07/2020,Month- The event occurred within this month,South Sudan,SSD,10.0969632,30.09266853,(1)Exact location,Ruweng Administrative Area,Refugee IDP settlement ,"July 2020: In Unity state, sexual violence including rape is occurring more and more frequently inside Yida Refugee camp",No Information,Unidentified armed actor,Group perpetrator,Firearms,Civilian ,Female,"Minor, ",Rape,SV of beneficiaries,Mass SV assault,2,,25800
01/07/2020,Exact Date,Sudan,SDN,12.02857599,24.84369262,(1)Exact location,South Darfur State,No information ,"July 2020: In South Darfur state, a woman was raped by three men in army uniforms, suspected to be Sudanese Armed Forces. ",State military,Sudanese Armed Forces,Group perpetrator,Firearms,Civilian ,Female,"Adult, ",Rape,CRSV,Gang SV assault,1,,25802
17/07/2020,Exact Date,Sudan,SDN,14.21823894,24.62568529,(2)25 km precision ,North Darfur State,No information ,"July 2020: In North Darfur state, two female IDPs were raped by militiamen north-east of Kassab IDP Camp.",NSA,Militia,Group perpetrator,Firearms,Civilian ,Female,"Unspecified, ",Rape,CRSV,Mass SV assault,2,,25803
16/08/2020,Exact Date,DRC,COD,-3.406499613,29.13231109,"(3)District, Communicipality or Commune ",South Kivu,No information ,"August 2020: In South Kivu province, FNL Nzabampema armed men raped a 16-year-old girl.  ",NSA,Forces nationales de lib̩ration (Burundi),Group perpetrator,Firearms,Civilian ,Female,"Minor, ",Rape,CRSV,Gang SV assault,1,,25805
24/08/2020,Exact Date,DRC,COD,1.936658096,30.04486093,(1)Exact location,Ituri,Victims home ,"August 2020: In Ituri province, unidentified men armed with firearms and machetes raped three girls, aged 13, 15 and 20, all from the same family, before looting goods from their home. ",NSA,Unidentified armed actor,Group perpetrator,"Blunt, dagger, knife  and machetes",Civilian ,Female,"Minor, Adult, ",Rape,CRSV,Mass SV assault,3,,25806
